Postal Code,Latitude,Longitude,Borough,Neighbourhood
M5N,43.7116948,-79.41693559999999,Central Toronto,Roselawn
M5P,43.6969476,-79.41130720000001,Central Toronto,"Forest Hill North & West, Forest Hill Road Park"
M5R,43.6727097,-79.40567840000001,Central Toronto,"The Annex, North Midtown, Yorkville"
M5S,43.6626956,-79.4000493,Downtown Toronto,"University of Toronto, Harbord"
M5T,43.6532057,-79.4000493,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
M5V,43.6289467,-79.3944199,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
M5W,43.6464352,-79.37484599999999,Downtown Toronto,Stn A PO Boxes
M5X,43.6484292,-79.3822802,Downtown Toronto,"First Canadian Place, Underground city"
M6A,43.718517999999996,-79.46476329999999,North York,"Lawrence Manor, Lawrence Heights"
M6B,43.709577,-79.44507259999999,North York,Glencairn
M6C,43.6937813,-79.42819140000002,York,Humewood-Cedarvale
M6E,43.6890256,-79.453512,York,Caledonia-Fairbanks
M6G,43.669542,-79.4225637,Downtown Toronto,Christie
M6H,43.66900510000001,-79.4422593,West Toronto,"Dufferin, Dovercourt Village"
M6J,43.647926700000006,-79.4197497,West Toronto,"Little Portugal, Trinity"
M6K,43.6368472,-79.42819140000002,West Toronto,"Brockton, Parkdale Village, Exhibition Place"
M6L,43.713756200000006,-79.4900738,North York,"North Park, Maple Leaf Park, Upwood Park"
M6M,43.6911158,-79.47601329999999,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
M6N,43.67318529999999,-79.48726190000001,York,"Runnymede, The Junction North"
M6P,43.6616083,-79.46476329999999,West Toronto,"High Park, The Junction South"
M6R,43.6489597,-79.456325,West Toronto,"Parkdale, Roncesvalles"
M6S,43.6515706,-79.4844499,West Toronto,"Runnymede, Swansea"
M7A,43.6623015,-79.3894938,Downtown Toronto,"Queen's Park, Ontario Provincial Government"
M7R,43.6369656,-79.61581899999999,Mississauga,Canada Post Gateway Processing Centre
M7Y,43.6627439,-79.321558,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
M8V,43.6056466,-79.50132070000001,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
M8W,43.60241370000001,-79.54348409999999,Etobicoke,"Alderwood, Long Branch"
M8X,43.653653600000005,-79.5069436,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
M8Y,43.6362579,-79.49850909999999,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
M8Z,43.6288408,-79.52099940000001,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
M9A,43.6678556,-79.53224240000002,Etobicoke,"Islington Avenue, Humber Valley Village"
M9B,43.6509432,-79.55472440000001,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
M9C,43.6435152,-79.57720079999999,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
M9L,43.7563033,-79.56596329999999,North York,Humber Summit
M9M,43.7247659,-79.53224240000002,North York,"Humberlea, Emery"
M9N,43.706876,-79.51818840000001,York,Weston
M9P,43.696319,-79.53224240000002,Etobicoke,Westmount
M9R,43.6889054,-79.55472440000001,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
M9V,43.739416399999996,-79.5884369,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
M9W,43.706748299999994,-79.5940544,Etobicoke,"Northwest, West Humber - Clairville"
